Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Dem. Rep.",COD,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05483832,6.015059312,5.644325587,7.037632986,9.29865344,12.60993356,19.50322338,13.52267953,8.687727916,11.00649182,14.28090787,14.92183178,14.97009924,13.77877433,14.15031374,10.83320243,8.48490764,11.74970125,16.26097127,8.093721393,11.57125976
"Congo, Rep.",COG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.54021835,22.00395867,37.73082632,42.76006691,64.96793349,53.45226207,69.00666851,109.499332,63.29595435,51.68673686,64.83348083,59.66325965,30.84308763,72.09891059,31.01747274,16.98627762,13.56645465,17.1421261,18.60683046,,
Colombia,COL,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.349311282,5.927355718,6.764155095,6.686325809,7.125838114,5.771301818,6.926243002,7.956288375,8.623417561,7.791056527,7.62142509,7.895374354,8.060873116,6.670060739,6.5852169,6.203970328,5.697404355,6.087427254,6.347953003,6.645718894,5.775956728
Comoros,COM,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.68091343,105.6830745,102.6634873,125.7158127,80.00938107,57.22529353,63.42031956,55.23598491,60.89393485,48.31659578,51.85879938,59.81813493,36.27715381,45.76013689,41.19146281,34.91137833,34.8615485,42.24992118,40.40562851,62.22994496,
Cabo Verde,CPV,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.70376633,33.6233921,32.94404887,32.29811778,30.22197997,33.78638676,33.17009668,30.08270508,23.66913638,21.77364784,14.9253111,21.60817176,24.9838495,31.74779912,30.44173632,37.11397309,34.60297184,35.90430596,43.77667895,41.08582164,35.57997764
Costa Rica,CRI,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.44831284,26.59810201,24.77036253,28.28411561,25.67761511,28.24798358,23.68836793,18.18896788,20.81961735,19.33781599,20.22102955,21.49385096,22.74370214,20.21252106,20.35888989,19.57168384,19.30747274,20.17806885,21.21979681,20.60154884,22.22670034
Caribbean small states,CSS,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49788607,10.65497092,10.42951492,9.284884546,8.3171275,8.852202971,9.783259099,8.700947059,8.034703985,10.90972313,12.35005613,11.76656733,12.76634328,15.16218846,16.19148295,18.21007212,16.75669669,17.54686953,19.16511803,20.26543821,19.85365787
Cuba,CUB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
